,Ring,SMART,PED_ORIENTED,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,ROAD_IMPACT_FEE,MF_RT_BASED_FEE,DIFF_MF_vs_RF,YEAR
0,1,In,0.0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,0.0,-35306.642238,-940670.80103,2016
1,1,In,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,1307823.05,-867924.6536240001,41667.274796,2016
2,1,In,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,325351.64,-230463.69500000004,-41902.490000000005,2016
3,1,In,0.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,416810.64999999997,317755.872,-270436.08571,2016
4,1,In,0.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,160967.58000000002,7495213.74,70045.58771,2016
5,1,In,0.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,180746.64,-30786.587999999996,1171556.4000000001,2016
6,1,In,0.0,253-00,Congregate Care Facility,"SANITARIUM, CONVALESCENT & REST HOME",Other,unit,0.0,252064.82000000004,-5403.493503999998,2016
7,1,In,0.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,2288746.79,8154032.544,5710.3774,2016
8,1,In,0.0,320-00,Motel,"HOTELS, MOTELS",Commercial/Retail,room,0.0,-295159.249,34817.57837600002,2016
9,1,In,0.0,520-00,Elementary School (30 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,27970.8,26142.9,11619.921818000006,2016
10,1,In,0.0,530-00,High School (25 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,40248.78,61971.966,-10889.250442,2016
11,1,In,0.0,540-00,Jr./Community College (25 SF/St),COLLEGES,Other,student,0.0,184305.968,-32628.217944000004,2016
12,1,In,0.0,550-00,University (20 SF/St),COLLEGES,Other,student,0.0,622998.6000000001,-80464.0672,2016
13,1,In,0.0,560-00,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,6761.24,91586.78195799999,78380.570892,2016
14,1,In,0.0,565-00,Day Care Center,PRIVATE SCHOOLS & COLLEGES,Other,sq. ft.,34484.5,63592.11831700001,-78380.46612795,2016
15,1,In,0.0,610-00,Hospital,HOSPITALS,Other,sq. ft.,0.0,1108276.956675,-64201.927528550004,2016
