,Ring,SMART,PED_ORIENT,LANDUSE,SPC_LU,GN_VA_LU,UNITS,UNITS_VAL,COST,YEAR
0,1,In,0,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,246.0,0.0,2020
1,1,In,0,Amusement Park,TOURIST ATTRACTIONS,Other,acre,3.1900000000000004,105213.95999999999,2020
2,1,In,0,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-94.0,1054192.53,2020
3,1,In,0,Car Sales (New & Used Car Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,29706.0,0.0,2020
4,1,In,0,Car Sales (Service and Parts Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,42320.0,0.0,2020
5,1,In,0,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,-357.0,0.0,2020
6,1,In,0,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,-17188.18,0.0,2020
7,1,In,0,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,7.0,61725.61,2020
8,1,In,0,Convenience market,"STORES, ONE STORY",Commercial/Retail,sq. ft.,150.0,0.0,2020
9,1,In,0,Day Care Center,PRIVATE SCHOOLS & COLLEGES,Other,sq. ft.,52131.1,0.0,2020
10,1,In,0,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,-42.629999999999995,311722.35000000003,2020
11,1,In,0,Elementary School (30 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,470.0,0.0,2020
12,1,In,0,Fast Food Rest. w/o Drive-Thru,"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,150.0,9651.82,2020
13,1,In,0,Furniture Store (free standing),"WHOLESALE, PRODUCE, MFG",Commercial/Retail,sq. ft.,21918.0,0.0,2020
14,1,In,0,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,193808.13,17459088.02999999,2020
15,1,In,0,"General Office Building [150,001-200,000]",PROFESSIONAL BUILDING,Office,sq. ft.,155882.0,0.0,2020
16,1,In,0,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,42826.33,32375.66,2020
17,1,In,0,"General Office Building [700,001-more]","OFFICE, MULTI-STORY",Office,sq. ft.,773285.0,0.0,2020
18,1,In,0,Health/Fitness,OUTDOOR RECREATIONAL,Other,sq. ft.,1905.0,2509.12,2020
19,1,In,0,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,77917.0,94808.31,2020
20,1,In,0,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,527.0,0.0,2020
21,1,In,0,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,6257.0,1765357.43,2020
22,1,In,0,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,412.0,0.0,2020
23,1,In,0,Jr./Community College (25 SF/St),COLLEGES,Other,student,-286.0,0.0,2020
