,Ring,SMART,PED_ORIENT,LANDUSE,SPC_LU,GN_VA_LU,UNITS,UNITS_VAL,COST,YEAR
0,1,In,0,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,6.75,227749.97999999998,2017
1,1,In,0,Bank (Walk-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,2735.0,0.0,2017
2,1,In,0,Car Sales (New & Used Car Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,4664.0,0.0,2017
3,1,In,0,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,-410.0,0.0,2017
4,1,In,0,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,5291.0,0.0,2017
5,1,In,0,Coffee/Donut Shop,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,1365.0,0.0,2017
6,1,In,0,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,-9.0,249576.96,2017
7,1,In,0,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,18.0,54465.85,2017
8,1,In,0,Elementary School (30 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,217.0,22308.61,2017
9,1,In,0,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,55215.280000000006,9693360.57,2017
10,1,In,0,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,72194.0,4371.94,2017
11,1,In,0,Health/Fitness,OUTDOOR RECREATIONAL,Other,sq. ft.,9700.0,26413.96,2017
12,1,In,0,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,52989.0,2050556.17,2017
13,1,In,0,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,597.0,47204.92,2017
14,1,In,0,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,2375.0,316190.36000000004,2017
15,1,In,0,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,250.0,1697824.2700000003,2017
16,1,In,0,Industrial Park,LIGHT MANUFACTURING,Industrial/Manufacturing,sq. ft.,-2009.0,0.0,2017
17,1,In,0,Jr./Community College (25 SF/St),COLLEGES,Other,student,213.0,0.0,2017
18,1,In,0,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,-10551.0,199131.49,2017
19,1,In,0,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,4107.0,0.0,2017
20,1,In,0,Mini-Warehouse,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,241011.0,0.0,2017
21,1,In,0,Service Stations w/ Gasoline,SERVICE STATIONS,Commercial/Retail,fuel station,-8.0,0.0,2017
22,1,In,0,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,68924.67,4491219.060000002,2017
23,1,In,0,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,136579.0,4645087.2700000005,2017
24,1,In,0,"Shopping Center/General Retail [50,001 -100,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,0.0,0.0,2017
25,1,In,0,"Shopping Center/General Retail [500,001-600,000]",REGIONAL SHOPPING CENTER,Commercial/Retail,sq. ft.,518147.0,0.0,2017
26,1,In,0,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-31.0,1720596.1499999997,2017
27,1,In,0,Tennis Courts,OUTDOOR RECREATIONAL,Other,court,8.0,0.0,2017
28,1,In,0,Truck Terminals,SERVICE STATIONS,Commercial/Retail,sq. ft.,10500.0,92942.85,2017
29,1,In,0,Unknown*,Unknown,Unknown,0,-406997.86,0.0,2017
30,1,In,0,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-186899.0,1458866.38,2017
31,2,In,0,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,24.0,0.0,2017
32,2,In,0,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-35.0,335286.49,2017
33,2,In,0,Assisted Living Facility,HOMES FOR THE AGED,Other,bed,6.0,0.0,2017
34,2,In,0,Bank (Walk-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,3918.0,0.0,2017
35,2,In,0,Car Sales (New & Used Car Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,-714.0,0.0,2017
36,2,In,0,Car Sales (Service and Parts Sales Area),"AUTO SALES, REPAIR, ETC",Commercial/Retail,sq. ft.,11628.0,149884.14,2017
37,2,In,0,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,-15057.0,10037.960000000001,2017
38,2,In,0,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,2691.0,0.0,2017
39,2,In,0,Coffee/Donut Shop,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,1855.0,0.0,2017
40,2,In,0,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,89.34,122825.53999999998,2017
41,2,In,0,Convenience market with Gasoline,SERVICE STATIONS,Commercial/Retail,sq. ft.,10524.0,287833.82,2017
42,2,In,0,Day Care Center,PRIVATE SCHOOLS & COLLEGES,Other,sq. ft.,-12500.0,0.0,2017
43,2,In,0,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,1.0,19363.47,2017
44,2,In,0,Elementary School (30 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,56.0,9760.02,2017
45,2,In,0,Fast Food Rest. w/o Drive-Thru,"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,-2918.0,0.0,2017
46,2,In,0,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,-9627.580000000002,678552.1900000001,2017
47,2,In,0,"General Office Building [100,001-150,000]",PROFESSIONAL BUILDING,Office,sq. ft.,-1605.0,0.0,2017
48,2,In,0,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,-51360.0,455493.47,2017
49,2,In,0,"General Office Building [600,001-700,000]","OFFICE, MULTI-STORY",Office,sq. ft.,-345.0,0.0,2017
50,2,In,0,"General Office Building [700,001-more]","OFFICE, MULTI-STORY",Office,sq. ft.,8100000.0,58454460.0,2017
51,2,In,0,Health/Fitness,OUTDOOR RECREATIONAL,Other,sq. ft.,1880.0,0.0,2017
52,2,In,0,High School (25 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,130.0,0.0,2017
53,2,In,0,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,24961.0,134342.4,2017
54,2,In,0,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,790.0,97186.6,2017
