,Ring,SMART,PED_ORIENTED,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,RIF_CALCULATED,MF_CALCULATED,RIF_ACTUAL,DIFF_MF_RF_CALC,DIFF_MF_RF_ACTUAL,YEAR
0,1,In,0.0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,-44909.006760000004,-83629.93607676428,0.0,-18617.94646748337,-34145.76871748337,2015
1,1,In,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-359634.22140000004,-228417.907413329,72237.97,-7944.042325148063,-7443.5698251480635,2015
2,1,In,0.0,151-00,Mini-Warehouse,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,1071838.1543999999,1223524.2282080445,343667.35,-23182.159876113896,-41290.651126113895,2015
3,1,In,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-128771.43,-254664.67700484165,1086665.07,-81866.96708898043,-746468.1840889805,2015
4,1,In,0.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-193024.8,-421571.6444228883,95545.1,-37669.204334520284,24523.363665479726,2015
5,1,In,0.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,4023466.5,8547273.145942867,210675.56000000003,-63364.57032804464,-69183.80707804466,2015
6,1,In,0.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,38387.7,76970.87496916793,39522.64,-12999.341986605923,-25126.70698660592,2015
7,1,In,0.0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,16932.0,27805.703323070375,74017.27,-4333.113995535308,-8375.568995535308,2015
8,1,In,0.0,30-00,Truck Terminals,SERVICE STATIONS,Commercial/Retail,sq. ft.,34216.733850000004,61050.79984676192,49478.189999999995,-26723.75838179809,-22454.328931798085,2015
9,1,In,0.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,109223.63999999996,205257.0137599964,211910.02,-9691.731636680637,-9081.15938668064,2015
10,1,In,0.0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,138342.6,198277.29724270824,0.0,-7793.091466688469,-18452.596366688467,2015
11,1,In,0.0,320-00,Motel,"HOTELS, MOTELS",Commercial/Retail,room,-73453.59999999999,-54156.457053654514,0.0,6904.040033768571,16347.487333768571,2015
12,1,In,0.0,490-00,Tennis Courts,OUTDOOR RECREATIONAL,Other,court,32362.899999999998,24648.06966927326,46294.18,-3820.1428758276797,-9045.39037582768,2015
13,1,In,0.0,492-00,Health/Fitness,OUTDOOR RECREATIONAL,Other,sq. ft.,4481.461800000001,3493.4736687117916,6785.37,22142.937251161176,52430.37185116117,2015
14,1,In,0.0,520-00,Elementary School (30 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,5315.9,92430.95775096207,36991.46,-12850.960634284318,-30428.693224284318,2015
15,1,In,0.0,530-00,High School (25 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,23776.2,78672.89066434088,0.0,-4660.574308509771,-11035.37625850977,2015
16,1,In,0.0,560-00,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,31346.435150000005,29071.030910072834,45595.98,51696.95168142805,115212.39103142804,2015
17,1,In,0.0,630-00,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,128916.25299999998,102504.77995395711,0.0,6230.305744758964,6743.059394758961,2015
18,1,In,0.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,216625.08876,352016.6286894883,593302.68,13891.428639373382,11800.04863937338,2015
19,1,In,0.0,710-01,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,670028.1978,1235652.154359781,0.0,-9967.100048750404,-213085.2557987504,2015
20,1,In,0.0,710-02,"General Office Building [100,001-150,000]",PROFESSIONAL BUILDING,Office,sq. ft.,598012.9831000001,1273653.575984422,0.0,-37312.37732535691,-113595.14472535689,2015
21,1,In,0.0,720-00,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,33427.695,21550.524380241346,37295.24,23254.25154231104,-656514.791857689,2015
22,1,In,0.0,760-00,Research Center,PROFESSIONAL BUILDING,Office,sq. ft.,-7502.8344,-23947.3384599408,0.0,29922.137289210266,-1027138.4941107896,2015
23,1,In,0.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,394538.48777999997,623794.3352852194,19498314.48,17017.000083232397,34000.682583232396,2015
24,1,In,0.0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,783446.4143999999,884786.9181624644,3911310.5799999996,3299.214301851178,6631.4580518511775,2015
25,1,In,0.0,820-03,"Shopping Center/General Retail [100,001-200,000]",COMMUNITY SHOPPING CENTER,Commercial/Retail,sq. ft.,1805687.2592,3821162.71353298,2734030.36,9585.085761167633,19266.136761167632,2015
26,1,In,0.0,820-09,"Shopping Center/General Retail [800,001-1,000,000]",REGIONAL SHOPPING CENTER,Commercial/Retail,sq. ft.,20019625.4556,23560968.410736136,15156080.440000001,972.4000047561369,1954.5330047561367,2015
27,1,In,0.0,911-00,Bank (Walk-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,11329.99,1626.8038866323338,0.0,22392.982966669897,31012.203766669893,2015
28,1,In,0.0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,203911.85499999998,83606.76073600227,286524.58,10856.1514816703,17876.5248316703,2015
29,1,In,0.0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,187765.0,98377.47328801526,0.0,-18308.90294669412,-43352.08914669412,2015
30,1,In,0.0,934-00,Fast Food Rest. w/ Drive-Thru,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,24349.5369,40545.098321533354,34831.340000000004,-12502.285775436045,-35478.98577543604,2015
31,1,In,0.0,937-00,Coffee/Donut Shop,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,93644.70399999998,235179.51535267924,0.0,-12578.688632952602,-29784.0035829526,2015
32,2,In,0.0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,-1425.4602,-3157.282314043611,3370.14,-13544.142923389049,-56709.96042338904,2015
33,2,In,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,111414.66460000002,84166.93281119561,255521.65000000002,0.0,0.0,2015
34,2,In,0.0,151-00,Mini-Warehouse,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,207065.51343999998,281139.02909529716,38152.53999999999,34103.45730966165,-1940.643190338349,2015
35,2,In,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,20738.47,44733.919827510515,1218691.4,-12967.648634855057,-34708.10878485505,2015
36,2,In,0.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,724689.6,1726320.2288972873,325815.61,-13745.568638659966,-51897.339188659964,2015
37,2,In,0.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,1961995.5,4546071.378016729,122925.98000000001,-6156.681172970284,-38120.590052970285,2015
38,2,In,0.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,147910.761,323478.30062026053,83222.18,-10043.502906266956,-29660.003606266953,2015
39,2,In,0.0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,-27514.5,-49283.13201335904,49181.42,-5403.765740716247,-25288.255840716243,2015
40,2,In,0.0,253-00,Congregate Care Facility,"SANITARIUM, CONVALESCENT & REST HOME",Other,unit,-288049.69999999995,-618860.367026429,0.0,-2917.200014268411,-12740.929014268411,2015
41,2,In,0.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,1838373.2000000002,3768131.8494042447,707123.77,-11682.83039999941,-28111.08730899941,2015
42,2,In,0.0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,723154.5,1130470.4118806734,728373.7899999999,-12106.380059213905,-62125.424409213905,2015
43,2,In,0.0,320-00,Motel,"HOTELS, MOTELS",Commercial/Retail,room,-90072.477,-72433.64082831061,0.0,12335.588631763567,-153706.00216823642,2015
44,2,In,0.0,492-00,Health/Fitness,OUTDOOR RECREATIONAL,Other,sq. ft.,6544.024200000001,6067.540419557182,0.0,-13981.72292552931,-33106.12877552931,2015
45,2,In,0.0,520-00,Elementary School (30 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,53560.2,1107676.256716464,28498.019999999997,7702.797180532543,13537.306230532542,2015
46,2,In,0.0,530-00,High School (25 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,23776.2,93573.98256905623,0.0,1041.857147953004,309.20464795300404,2015
47,2,In,0.0,550-00,University (20 SF/St),COLLEGES,Other,student,148192.4,109214.09779783785,0.0,11911.900058262678,19145.641808262677,2015
48,2,In,0.0,560-00,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,1407.37866,1552.4343454957343,2013.22,54391.88883746648,22365.842787466463,2015
49,2,In,0.0,630-00,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,668331.5434,667253.5080747704,0.0,8022.300039238129,2380.87978923813,2015
50,2,In,0.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,-452762.12227199995,-923819.1821553505,260347.86000000002,63782.49459768289,26227.236947682875,2015
51,2,In,0.0,710-01,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,-148192.982097,-343157.3071012193,0.0,42980.080210221255,101534.88481022125,2015
52,2,In,0.0,710-03,"General Office Building [150,001-200,000]",PROFESSIONAL BUILDING,Office,sq. ft.,-862430.36685,-2506557.1851323536,0.0,-57072.93456486554,-170097.81221486552,2015
53,2,In,0.0,710-04,"General Office Building [200,001-300,000]","OFFICE, MULTI-STORY",Office,sq. ft.,1223644.1491999999,3759200.652082088,1870124.4400000002,6945.714319686691,-26670.185680313316,2015
54,2,In,0.0,720-00,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,119864.2375,97029.43473068722,29488.480000000003,-7365.926673188245,-38510.117073188245,2015
55,2,In,0.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-273016.141731,-542004.4333880802,5506501.17,-3525.9735613620505,-46673.21356136205,2015
56,2,In,0.0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,1770767.6543999999,2511038.890362922,778023.84,-24832.928082164173,-506959.01608216413,2015
57,2,In,0.0,820-03,"Shopping Center/General Retail [100,001-200,000]",COMMUNITY SHOPPING CENTER,Commercial/Retail,sq. ft.,182698.3829,485456.32514649554,0.0,-4230.3244196898395,-9053.22441968984,2015
58,2,In,0.0,820-11,"Shopping Center/General Retail [1,200,001-more]",REGIONAL SHOPPING CENTER,Commercial/Retail,sq. ft.,23345.760000000002,32684.58427412231,29684.88,-4230.3244196898395,-19321.40441968984,2015
59,2,In,0.0,911-00,Bank (Walk-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,47594.05085000001,8580.662257848464,0.0,-4230.3244196898395,-29084.164419689838,2015
60,2,In,0.0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,-18463.9825825,-9505.758287001496,1273152.25,0.0,0.0,2015
61,2,In,0.0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,373133.0,245474.9302944026,36293.4,0.0,0.0,2015
62,2,In,0.0,937-00,Coffee/Donut Shop,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,43457.36588,137038.35331218826,0.0,0.0,0.0,2015
63,2,In,0.0,944-00,Service Stations w/ Gasoline,SERVICE STATIONS,Commercial/Retail,fuel station,36612.899999999994,117561.40115296113,0.0,4230.3244196898395,2154.2044196898387,2015
64,2,Out,0.0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,21023.5906,40604.21756677868,37805.66,0.0,0.0,2015
65,2,Out,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,2160744.0121500003,1423339.154352543,3064977.91,4230.3244196898395,3065.2744196898384,2015
66,2,Out,0.0,151-00,Mini-Warehouse,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,332839.311,394052.34460288135,176496.27,4230.3244196898395,3065.2744196898384,2015
67,2,Out,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,123948.53,232667.86758602888,649691.09,0.0,0.0,2015
68,2,Out,0.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-101829.048,-211093.95707166725,266430.54,0.0,0.0,2015
