,Ring,SMART,PED_ORIENTED,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,RIF_CALCULATED,MF_CALCULATED,RIF_ACTUAL,DIFF_MF_RF_CALC,DIFF_MF_RF_ACTUAL,YEAR
135,3,In,0.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,303184.8459504,504002.203279978,490770.3,-3719.6644196898396,-9053.22441968984,2018
136,3,In,0.0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,625360.10928,762678.2866756294,876756.09,3719.6644196898396,9053.22441968984,2018
137,3,In,0.0,820-02,"Shopping Center/General Retail [50,001 -100,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,89331.46368,84339.90528385807,145115.75,-3719.6644196898396,-9053.22441968984,2018
138,3,In,0.0,820-04,"Shopping Center/General Retail [200,001-300,000]",COMMUNITY SHOPPING CENTER,Commercial/Retail,sq. ft.,80184.7542,165902.34438267568,0.0,3719.6644196898396,9053.22441968984,2018
139,3,In,0.0,820-05,"Shopping Center/General Retail [300,001-400,000]",COMMUNITY SHOPPING CENTER,Commercial/Retail,sq. ft.,-241951.25345119997,-326502.71997677255,0.0,-3719.6644196898396,-9053.22441968984,2018
140,3,In,0.0,820-09,"Shopping Center/General Retail [800,001-1,000,000]",REGIONAL SHOPPING CENTER,Commercial/Retail,sq. ft.,41261.57917999999,51856.083708244994,67028.20999999999,3719.6644196898396,9053.22441968984,2018
141,3,In,0.0,820-10,"Shopping Center/General Retail [1,000,001-1,200,000]",REGIONAL SHOPPING CENTER,Commercial/Retail,sq. ft.,110356.76139999999,136689.35172229036,179271.06,3719.6644196898396,9053.22441968984,2018
142,3,In,0.0,820-11,"Shopping Center/General Retail [1,200,001-more]",REGIONAL SHOPPING CENTER,Commercial/Retail,sq. ft.,812202.19472,1022802.9027478443,1319397.45,-3719.6644196898396,-9053.22441968984,2018
143,3,In,0.0,853-00,Convenience market with Gasoline,SERVICE STATIONS,Commercial/Retail,sq. ft.,0.0,0.0,0.0,0.0,0.0,2018
144,3,In,0.0,862-00,Home Improvements Superstore,"WHOLESALE, PRODUCE, MFG",Commercial/Retail,sq. ft.,1626459.1909,1944514.4367491803,2642126.72,-3719.6644196898396,-9053.22441968984,2018
145,3,In,0.0,890-00,Furniture Store (free standing),"WHOLESALE, PRODUCE, MFG",Commercial/Retail,sq. ft.,177621.84164,584946.9084780623,290654.20999999996,3719.6644196898396,9053.22441968984,2018
146,3,In,0.0,912-00,Bank (Drive-in),"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,56942.359319999996,45707.821980949295,0.0,3719.6644196898396,9053.22441968984,2018
147,3,In,0.0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,89310.68437840001,39958.506438031516,52109.229999999996,-3719.6644196898396,-9053.22441968984,2018
148,3,In,0.0,934-00,Fast Food Rest. w/ Drive-Thru,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,17075.4055,30363.2773906144,27738.47,0.0,0.0,2018
149,3,In,0.0,937-00,Coffee/Donut Shop,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,107587.95943999998,292439.0483990526,136016.37,3719.6644196898396,9053.22441968984,2018
150,3,In,1.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,50221.370599999995,32359.585039635105,126654.95,-3719.6644196898396,-9053.22441968984,2018
151,3,In,1.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-13487.59,-25597.197612212593,59383.44,3719.6644196898396,9053.22441968984,2018
152,3,In,1.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,41194.56,87334.16744641348,173557.53,-3719.6644196898396,-9053.22441968984,2018
153,3,In,1.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,522427.56,1018410.5380502975,730697.8400000001,0.0,0.0,2018
154,3,In,1.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,3453.56,6355.914322354484,4819.16,3719.6644196898396,9053.22441968984,2018
155,3,In,1.0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,29440.8,44773.403281022715,24095.8,-3719.6644196898396,-9053.22441968984,2018
156,3,In,1.0,560-00,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,-40118.259999999995,-37630.11733858551,7741.5199999999995,3719.6644196898396,389.0244196898402,2018
157,3,In,1.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,143946.3233664,260219.0910255366,16979.059999999998,-3719.6644196898396,-531112.1444196898,2018
158,3,In,1.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,66572.82707239999,113678.9493720328,0.0,0.0,0.0,2018
159,3,In,1.0,820-11,"Shopping Center/General Retail [1,200,001-more]",REGIONAL SHOPPING CENTER,Commercial/Retail,sq. ft.,19901.116,25061.39400391396,27770.350000000002,-29757.315357518717,-397935.06535751873,2018
160,3,In,1.0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,24898.0291,11529.731655465035,22149.48,-11158.993259069519,-514468.1332590695,2018
161,3,In,1.0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,84177.0,47058.11714225286,117462.09999999999,0.0,0.0,2018
162,3,Out,0.0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,312689.88233999995,569466.8198460252,10773.32,3719.6644196898396,389.0244196898402,2018
163,3,Out,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,7331671.39292,4551215.991632282,13525685.96,0.0,0.0,2018
164,3,Out,0.0,151-00,Mini-Warehouse,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,315791.22904,352415.98750397464,512989.9,3719.6644196898396,672.7244196898391,2018
165,3,Out,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,2656105.8488,4693535.05695366,6382288.25,0.0,0.0,2018
166,3,Out,0.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,3679917.64,7173630.410044931,4121690.39,0.0,0.0,2018
167,3,Out,0.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,5178608.52,9947253.147376167,5887292.28,3719.6644196898396,9053.22441968984,2018
168,3,Out,0.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,1739090.24,3115590.3871962777,2815311.79,-3719.6644196898396,-9053.22441968984,2018
169,3,Out,0.0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,316922.88,464494.54171754466,998260.9500000001,3719.6644196898396,9053.22441968984,2018
170,3,Out,0.0,254-00,Assisted Living Facility,HOMES FOR THE AGED,Other,bed,276600.63999999996,477237.76043108915,417448.21,-3719.6644196898396,-9053.22441968984,2018
171,3,Out,0.0,255-00,Continuing Care Retirement Community,HOMES FOR THE AGED,Other,unit,8640.48,15190.591843960396,0.0,3719.6644196898396,9053.22441968984,2018
172,3,Out,0.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,566662.08,1005364.0035394458,920524.46,-3719.6644196898396,-9053.22441968984,2018
173,3,Out,0.0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,-31953.420000000042,-79982.68566729699,833058.14,-3719.6644196898396,-9053.22441968984,2018
174,3,Out,0.0,492-00,Health/Fitness,OUTDOOR RECREATIONAL,Other,sq. ft.,0.0,0.0,0.0,3719.6644196898396,9053.22441968984,2018
175,3,Out,0.0,520-00,Elementary School (30 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,41947.5,712023.3549636918,13404.5,-3719.6644196898396,-9053.22441968984,2018
176,3,Out,0.0,530-00,High School (25 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,83263.31999999999,284912.75859476696,81418.7,3719.6644196898396,9053.22441968984,2018
177,3,Out,0.0,540-00,Jr./Community College (25 SF/St),COLLEGES,Other,student,-33959.85,-30071.932579143202,0.0,3719.6644196898396,9053.22441968984,2018
178,3,Out,0.0,550-00,University (20 SF/St),COLLEGES,Other,student,0.0,0.0,0.0,-3719.6644196898396,-9053.22441968984,2018
179,3,Out,0.0,560-00,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,59845.50232,56196.26482349212,107786.79999999999,-1859.8322098449198,-8858.712209844918,2018
180,3,Out,0.0,565-00,Day Care Center,PRIVATE SCHOOLS & COLLEGES,Other,sq. ft.,16285.217999999999,170706.14571602165,0.0,3719.6644196898396,9053.22441968984,2018
181,3,Out,0.0,630-00,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,3416607.9288399997,2831871.6836491646,3143145.6,0.0,0.0,2018
182,3,Out,0.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,554084.0121919999,920655.2346204462,2927628.24,3719.6644196898396,389.0244196898402,2018
183,3,Out,0.0,710-01,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,-467155.1578679999,-889311.6721974828,0.0,0.0,0.0,2018
184,3,Out,0.0,710-02,"General Office Building [100,001-150,000]",PROFESSIONAL BUILDING,Office,sq. ft.,-866589.431752,-1905250.3820739125,0.0,-3719.6644196898396,-36890.43441968984,2018
185,3,Out,0.0,720-00,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,945994.6619999999,634094.6179175146,0.0,3719.6644196898396,4721.12441968984,2018
186,3,Out,0.0,750-00,Office Park,"OFFICE, MULTI-STORY",Office,sq. ft.,0.0,0.0,0.0,-1859.8322098449198,-4526.61220984492,2018
187,3,Out,0.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,188391.8180568,306920.1337139079,890938.13,0.0,0.0,2018
188,3,Out,0.0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,461224.42226,547611.5374047922,617292.84,3719.6644196898396,9053.22441968984,2018
189,3,Out,0.0,820-02,"Shopping Center/General Retail [50,001 -100,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,491417.98271999997,448468.93475081376,147854.07,-3719.6644196898396,-9053.22441968984,2018
190,3,Out,0.0,820-03,"Shopping Center/General Retail [100,001-200,000]",COMMUNITY SHOPPING CENTER,Commercial/Retail,sq. ft.,7931.720939999999,17326.56033937314,12884.81,-3719.6644196898396,-9053.22441968984,2018
191,3,Out,0.0,820-05,"Shopping Center/General Retail [300,001-400,000]",COMMUNITY SHOPPING CENTER,Commercial/Retail,sq. ft.,2503529.26376,3265609.573935247,2403371.0300000003,3719.6644196898396,9053.22441968984,2018
192,3,Out,0.0,853-00,Convenience market with Gasoline,SERVICE STATIONS,Commercial/Retail,sq. ft.,761673.5588,1540425.6315736629,512917.88999999996,3719.6644196898396,9053.22441968984,2018
193,3,Out,0.0,890-00,Furniture Store (free standing),"WHOLESALE, PRODUCE, MFG",Commercial/Retail,sq. ft.,18080.0493,60884.09309443066,0.0,-3719.6644196898396,-9053.22441968984,2018
194,3,Out,0.0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,138200.2147,65143.174482309405,579310.78,3719.6644196898396,4579.274419689839,2018
195,3,Out,0.0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,107150.59999999999,58627.67712489747,109751.13,-1859.8322098449198,-4526.61220984492,2018
196,3,Out,0.0,933-00,Fast Food Rest. w/o Drive-Thru,"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,18233.720499999996,15964.709939080902,44878.22,-1859.8322098449198,-9000.56220984492,2018
197,3,Out,0.0,934-00,Fast Food Rest. w/ Drive-Thru,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,399620.179,697270.8091017554,0.0,3719.6644196898396,9053.22441968984,2018
198,3,Out,0.0,937-00,Coffee/Donut Shop,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,-21957.347199999997,-60201.05575393631,0.0,3719.6644196898396,9053.22441968984,2018
199,3,Out,0.0,944-00,Service Stations w/ Gasoline,SERVICE STATIONS,Commercial/Retail,fuel station,21544.80000000001,75357.75085105865,215819.62000000002,-3719.6644196898396,-9053.22441968984,2018
200,3,Out,1.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,1460.87656,907.0691906282378,1971.75,0.0,0.0,2018
201,3,Out,1.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,5640.94,9958.276875485148,15389.35,3719.6644196898396,9053.22441968984,2018
202,3,Out,1.0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,3862.4976,5661.027227182576,0.0,-3719.6644196898396,-9053.22441968984,2018
203,3,Out,1.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-28223.8196,-46062.42951776765,53683.71,-3719.6644196898396,-9053.22441968984,2018
204,3,Out,1.0,933-00,Fast Food Rest. w/o Drive-Thru,"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,67997.485,59535.85416711881,0.0,3719.6644196898396,9053.22441968984,2018
205,4,In,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-21398.58863999999,-12902.886910472818,423669.3,-3719.6644196898396,-9053.22441968984,2018
206,4,In,0.0,151-00,Mini-Warehouse,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,276008.19372,299124.7710051282,448363.99,3719.6644196898396,9053.22441968984,2018
207,4,In,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,81906.4488,138666.7093459794,251970.35,-3719.6644196898396,-9053.22441968984,2018
208,4,In,0.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,312931.64,585021.4248654178,405524.45,3719.6644196898396,9053.22441968984,2018
209,4,In,0.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,0.0,0.0,0.0,0.0,0.0,2018
210,4,In,0.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,20721.36,35569.885346662675,0.0,-3719.6644196898396,-9053.22441968984,2018
211,4,In,0.0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,14855.76,20880.615288825866,33293.8,3719.6644196898396,9053.22441968984,2018
212,4,In,0.0,254-00,Assisted Living Facility,HOMES FOR THE AGED,Other,bed,22345.68,36824.34091634019,0.0,3719.6644196898396,9053.22441968984,2018
213,4,In,0.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,420593.6,676596.6814518769,683240.88,-3719.6644196898396,-9053.22441968984,2018
214,4,In,0.0,630-00,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,262992.38784,209617.35567617614,0.0,0.0,0.0,2018
215,4,In,0.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,-16250.25376,-26472.884398309863,21073.5,3719.6644196898396,105.32441968983767,2018
216,4,In,0.0,720-00,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,110477.166,71397.12303987233,0.0,0.0,0.0,2018
217,4,In,0.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-56788.9918528,-90005.71320781008,170811.91999999998,0.0,0.0,2018
218,4,In,0.0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-124395.84564,-140831.68053099263,81166.55,-3719.6644196898396,-9053.22441968984,2018
219,4,In,0.0,820-02,"Shopping Center/General Retail [50,001 -100,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,244815.04384,216967.30142906617,0.0,3719.6644196898396,9053.22441968984,2018
220,4,In,0.0,820-03,"Shopping Center/General Retail [100,001-200,000]",COMMUNITY SHOPPING CENTER,Commercial/Retail,sq. ft.,23208.957199999997,49235.16780365005,37702.15,3719.6644196898396,9053.22441968984,2018
221,4,In,0.0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,19641.3,10307.156220998471,0.0,-3719.6644196898396,-9053.22441968984,2018
222,4,In,1.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,78973.15999999999,133700.68394240437,73536.12,-3719.6644196898396,-9053.22441968984,2018
223,4,In,1.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,2741122.7199999997,5124491.468441382,1574392.53,3719.6644196898396,9053.22441968984,2018
224,4,In,1.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,576898.68,1048937.3043710806,15511.76,-3719.6644196898396,-9053.22441968984,2018
225,4,In,1.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,55256.96,94853.02759110047,76790.95999999999,3719.6644196898396,9053.22441968984,2018
226,4,In,1.0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,4951.92,6960.205096275289,0.0,-7439.328839379679,-30767.28883937968,2018
227,4,In,1.0,240-00,Mobile Home,MOBILE HOME,Single-family,unit,-88237.79999999999,-151748.65762228105,0.0,-5207.530187565775,-45582.13418756577,2018
228,4,In,1.0,254-00,Assisted Living Facility,HOMES FOR THE AGED,Other,bed,-19153.44,-31563.72078543445,0.0,0.0,0.0,2018
229,4,In,1.0,560-00,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,-5882.83584,-5179.737371380381,4252.18,-3719.6644196898396,-11110.094419689838,2018
230,4,In,1.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,28566.622559999996,46537.17460969856,45851.88,0.0,0.0,2018
231,4,In,1.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,61359.02828,97248.83154106022,34396.659999999996,-3719.6644196898396,-10499.294419689839,2018
232,4,Out,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-14928.147519999999,-9711.90486236723,108982.13,0.0,0.0,2018
233,4,Out,0.0,151-00,Mini-Warehouse,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,12115.3921,14166.566964423237,19680.960000000003,-3719.6644196898396,-17500.76441968984,2018
234,4,Out,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,3418409.6399999997,6322634.022115783,5823107.430000001,3719.6644196898396,7801.284419689839,2018
235,4,Out,0.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,1761315.6,3303096.163802517,2876815.7399999998,3719.6644196898396,4721.12441968984,2018
236,4,Out,0.0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,200552.76,307961.8266351915,454058.74,-1859.8322098449198,-4526.61220984492,2018
237,4,Out,0.0,240-00,Mobile Home,MOBILE HOME,Single-family,unit,8823.779999999999,16578.479039362162,18486.12,3719.6644196898396,389.0244196898402,2018
238,4,Out,0.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,1051484.0,1847947.7969209019,1857480.9800000002,-3719.6644196898396,-24723.29441968984,2018
239,4,Out,0.0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,91955.5,123233.36085925873,0.0,-3719.6644196898396,-25236.394419689837,2018
240,4,Out,0.0,565-00,Day Care Center,PRIVATE SCHOOLS & COLLEGES,Other,sq. ft.,25048.649999999998,275113.25213325303,42023.11,-3719.6644196898396,-16604.58441968984,2018
241,4,Out,0.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,182717.09958919996,321156.7462051043,837216.9800000001,-3719.6644196898396,-30806.86441968984,2018
242,4,Out,0.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,278071.29349999997,475509.08212307666,284589.9,-3719.6644196898396,-9053.22441968984,2018
243,4,Out,0.0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,141649.5212,173023.99539113732,0.0,3719.6644196898396,9053.22441968984,2018
244,4,Out,0.0,820-02,"Shopping Center/General Retail [50,001 -100,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,308332.784,294830.6504539918,500875.52,-3719.6644196898396,-11110.094419689838,2018
245,4,Out,0.0,853-00,Convenience market with Gasoline,SERVICE STATIONS,Commercial/Retail,sq. ft.,301510.5366,636974.8702384614,489793.99,-3719.6644196898396,-9053.22441968984,2018
