,Ring,SMART,PED_ORIENTED,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,RIF_CALCULATED,MF_CALCULATED,RIF_ACTUAL,DIFF_MF_RF_CALC,DIFF_MF_RF_ACTUAL,YEAR
0,1,In,0.0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,46136.157999999996,73027.87546024036,179126.7,3651.567340677403,-33134.0326593226,2020
1,1,In,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-379878.80446,-205084.63588503157,9245640.43,2134.661767973062,-25219.49223202694,2020
2,1,In,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-227073.48,-381710.87542074017,63919.76,-5298.044657728361,-12858.492657728362,2020
3,1,In,0.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-398400.0,-739599.376180506,1431899.54,-824.5474640239297,-2001.1974640239296,2020
4,1,In,0.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,15579930.0,28132713.347798273,5236961.21,25652.587769633366,-32637.812230366635,2020
5,1,In,0.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,24318.0,41445.85575262888,53831.45,-3747.1101420643017,-9554.128142064303,2020
6,1,In,0.0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,-106148.7,-148169.64158281128,5655.67,-595358.6067737354,209608.8112262647,2020
7,1,In,0.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,2178656.0,3480077.764161255,0.0,64806.81306128396,-82453.77093871604,2020
8,1,In,0.0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,909954.0,1108550.3436751415,450198.89,913.5462379185763,-8289.435762081424,2020
9,1,In,0.0,320-00,Motel,"HOTELS, MOTELS",Commercial/Retail,room,59411.0,37232.56422438748,0.0,-753.8719671075928,-1829.6679671075924,2020
10,1,In,0.0,480-00,Amusement Park,TOURIST ATTRACTIONS,Other,acre,148223.34999999998,69252.74322731649,199995.69,217.2617127428132,-1971.4222872571868,2020
11,1,In,0.0,492-00,Health/Fitness,OUTDOOR RECREATIONAL,Other,sq. ft.,1541.2500000000002,1021.2446412277221,2509.12,-1104.6318406923756,-2680.965840692376,2020
12,1,In,0.0,520-00,Elementary School (30 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,55460.0,819670.757414192,0.0,307.56929213591036,-3052.33070786409,2020
13,1,In,0.0,540-00,Jr./Community College (25 SF/St),COLLEGES,Other,student,-202774.0,-156122.78375536454,0.0,-164.90949280478597,-400.23549280478596,2020
14,1,In,0.0,560-00,Church/Synagogue,"CHURCHES, TEMPLES",Other,sq. ft.,-1266.279,-998.2069861398483,0.0,911.4521491210551,-1159.641450878945,2020
15,1,In,0.0,565-00,Day Care Center,PRIVATE SCHOOLS & COLLEGES,Other,sq. ft.,251428.2953,2290688.6256037173,151236.62,-2100.6328250133447,-34885.47282501335,2020
16,1,In,0.0,630-00,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,-326266.03276,-220509.4629172724,0.0,-1179.2337541040645,-55157.90975410406,2020
17,1,In,0.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,1733894.33598,2394947.3988765175,17459088.03,16975.20731490535,-30649.272685094656,2020
18,1,In,0.0,710-01,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,337599.95939000003,529205.6375037293,32375.66,-19501.201926915164,24811.39807308484,2020
19,1,In,0.0,710-03,"General Office Building [150,001-200,000]",PROFESSIONAL BUILDING,Office,sq. ft.,954465.486,1877890.5156043617,0.0,13215.806039389168,39012.14603938917,2020
20,1,In,0.0,720-00,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,73315.90000000001,40176.1676013837,0.0,3306.319933868688,9760.027933868689,2020
21,1,In,0.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,546474.7138299999,734414.1705023507,5455418.720000001,786.3167751034414,2321.1527751034414,2020
22,1,In,0.0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,1515386.96352,1454694.7387049915,20235.69,847.8957996597351,2502.929799659735,2020
23,1,In,0.0,851-00,Convenience market,"STORES, ONE STORY",Commercial/Retail,sq. ft.,4714.8,10953.480744630448,0.0,1061.0539615853668,3132.157961585367,2020
24,1,In,0.0,890-00,Furniture Store (free standing),"WHOLESALE, PRODUCE, MFG",Commercial/Retail,sq. ft.,21589.23,56604.68021433769,0.0,-59309.12697418776,-175076.44377418776,2020
25,1,In,0.0,931-00,Quality Restaurant,"RESTAURANTS, CAFETERIAS",Commercial/Retail,sq. ft.,308355.63200000004,3438622.831458399,0.0,4007.3734442018776,3920.459444201878,2020
26,1,In,0.0,932-00,High Turnover Rest.,DRIVE-IN RESTAURANTS,Commercial/Retail,sq. ft.,2345217.595,817336.6839714813,279064.29000000004,-4500.005640652225,-16270.215640652226,2020
27,1,In,0.0,932-01,High turnover Rest/Seats,"RESTAURANTS, CAFETERIAS",Commercial/Retail,seats,495380.0,220616.71669269804,0.0,-5651.059715050638,-35590.82771505064,2020
