,Ring,SMART,STATUS,PED_ORIENTED,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,RIF_CALCULATED,MF_CALCULATED,RIF_ACTUAL,DIFF_MF_RF_CALC,DIFF_MF_RF_ACTUAL,YEAR
0,1,In,Assessed,0.0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,-9304.2092,-10298.895933413578,0.0,-994.6867334135786,-10298.895933413578,2015
1,1,In,Assessed,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-417023.02356,-157438.9043421212,0.0,259584.1192178788,-157438.9043421212,2015
2,1,In,Assessed,0.0,151-00,Mini-Warehouse,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,421758.09676,286173.6732613682,191288.27,-135584.4234986318,94885.40326136819,2015
3,1,In,Assessed,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-42191.864,-49597.61499719763,273629.77999999997,-7405.750997197625,-323227.3949971976,2015
4,1,In,Assessed,0.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,108245.28,140523.8814742961,44837.53,32278.601474296098,95686.3514742961,2015
5,1,In,Assessed,0.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,1292534.1,1632120.0168212836,0.0,339585.9168212835,1632120.0168212836,2015
6,1,In,Assessed,0.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,19871.28,23683.346144359362,15018.8,3812.0661443593635,8664.546144359363,2015
7,1,In,Assessed,0.0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,0.0,0.0,52565.79,0.0,-52565.79,2015
8,1,In,Assessed,0.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,620070.8799999999,692636.8365563664,211910.02,72565.95655636652,480726.8165563664,2015
9,1,In,Assessed,0.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,109912.65714000001,106165.89394330625,54888.9,-3746.7631966937624,51276.99394330625,2015
10,1,In,Assessed,0.0,710-01,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,1127223.90924,1235652.154359781,0.0,108428.245119781,1235652.154359781,2015
