,Ring,SMART,STATUS,PED_ORIENTED,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,RIF_CALCULATED,MF_CALCULATED,RIF_ACTUAL,DIFF_MF_RF_CALC,DIFF_MF_RF_ACTUAL,YEAR
0,1,In,Assessed,0.0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,20296.18435399999,19100.100310313133,79051.39,-1196.0840436868566,-59951.28968968686,2020
1,1,In,Assessed,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-517746.19319371996,-166180.0886669164,6475578.409999999,351566.1045268036,-6641758.498666916,2020
2,1,In,Assessed,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-214923.40336,-214795.824949402,23258.02,127.57841059798375,-238053.844949402,2020
3,1,In,Assessed,0.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,-381962.016,-421571.6444228883,1157360.13,-39609.62842288829,-1578931.7744228882,2020
4,1,In,Assessed,0.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,15952777.620000001,17126019.680639863,4415200.0,1173242.060639862,12710819.680639863,2020
5,1,In,Assessed,0.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,-11686.536,-11841.673072179681,0.0,-155.13707217968113,-11841.673072179681,2020
6,1,In,Assessed,0.0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,-150774.48,-125125.6649538167,5655.67,25648.815046183314,-130781.3349538167,2020
7,1,In,Assessed,0.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,3664499.392,3480077.764161255,0.0,-184421.62783874478,3480077.764161255,2020
8,1,In,Assessed,0.0,311-00,All Suites Hotel,"HOTELS, MOTELS",Commercial/Retail,room,1418551.704,1027436.9038940335,393691.01,-391114.8001059664,633745.8938940335,2020
9,1,In,Assessed,0.0,320-00,Motel,"HOTELS, MOTELS",Commercial/Retail,room,99929.30200000001,37232.56422438748,0.0,-62696.73777561253,37232.56422438748,2020
10,1,In,Assessed,0.0,520-00,Elementary School (30 SF/St),PUBLIC COUNTY SCHOOLS,Other,student,30366.828,266828.99124334333,0.0,236462.16324334333,266828.99124334333,2020
11,1,In,Assessed,0.0,540-00,Jr./Community College (25 SF/St),COLLEGES,Other,student,95403.04000000001,43670.70874275931,0.0,-51732.3312572407,43670.70874275931,2020
12,1,In,Assessed,0.0,565-00,Day Care Center,PRIVATE SCHOOLS & COLLEGES,Other,sq. ft.,422902.39269460004,2290688.6256037173,151236.62,1867786.2329091174,2139452.005603717,2020
13,1,In,Assessed,0.0,630-00,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,-240229.94236632,-96528.71279523968,0.0,143701.2295710803,-96528.71279523968,2020
14,1,In,Assessed,0.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,2465144.50499436,2024369.2989663866,11568246.83,-440775.2060279732,-9543877.531033613,2020
15,1,In,Assessed,0.0,710-01,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,-400741.86660601996,-373474.36845632904,32375.66,27267.498149690917,-405850.028456329,2020
16,1,In,Assessed,0.0,710-03,"General Office Building [150,001-200,000]",PROFESSIONAL BUILDING,Office,sq. ft.,1605410.9474519999,1877890.5156043617,0.0,272479.5681523618,1877890.5156043617,2020
17,1,In,Assessed,0.0,720-00,Medical Office Building,PROFESSIONAL BUILDING,Office,sq. ft.,33289.2189,10845.459337939048,0.0,-22443.75956206095,10845.459337939048,2020
18,1,In,Assessed,0.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,330560.82317905995,264117.00661901844,4340700.54,-66443.81656004151,-4076583.5333809815,2020
