,Ring,SMART,STATUS,PED_ORIENTED,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,RIF_CALCULATED,MF_CALCULATED,RIF_ACTUAL,DIFF_MF_RF_CALC,DIFF_MF_RF_ACTUAL,YEAR
0,1,In,Assessed,0.0,140-00,Manufacturing,HEAVY INDUSTRIAL,Industrial/Manufacturing,sq. ft.,-5530.474,-10298.895933413578,0.0,-4768.421933413578,-10298.895933413578,2015
1,1,In,Assessed,0.0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,-247880.8182,-157438.9043421212,0.0,90441.9138578788,-157438.9043421212,2015
2,1,In,Assessed,0.0,151-00,Mini-Warehouse,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,250695.37219999998,286173.6732613682,191288.27,35478.3010613682,94885.40326136819,2015
3,1,In,Assessed,0.0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,-25079.079999999998,-49597.61499719763,273629.77999999997,-24518.53499719763,-323227.3949971976,2015
4,1,In,Assessed,0.0,220-00,Apartment (Rentals),MULTI-FAMILY 10 OR MORE,Multifamily,unit,64341.600000000006,140523.8814742961,44837.53,76182.28147429609,95686.3514742961,2015
5,1,In,Assessed,0.0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,768289.5,1632120.0168212836,0.0,863830.5168212836,1632120.0168212836,2015
6,1,In,Assessed,0.0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,11811.6,23683.346144359362,15018.8,11871.746144359362,8664.546144359363,2015
7,1,In,Assessed,0.0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,0.0,0.0,52565.79,0.0,-52565.79,2015
8,1,In,Assessed,0.0,310-00,Hotel,"HOTELS, MOTELS",Commercial/Retail,room,368573.6,692636.8365563664,211910.02,324063.23655636644,480726.8165563664,2015
9,1,In,Assessed,0.0,710-00,"General Office Building [1-50,000]","OFFICE, ONE STORY",Office,sq. ft.,65332.6983,106165.89394330625,54888.9,40833.19564330625,51276.99394330625,2015
10,1,In,Assessed,0.0,710-01,"General Office Building [50,001 -100,000]","OFFICE, ONE STORY",Office,sq. ft.,670028.1978,1235652.154359781,0.0,565623.956559781,1235652.154359781,2015
11,1,In,Assessed,0.0,710-02,"General Office Building [100,001-150,000]",PROFESSIONAL BUILDING,Office,sq. ft.,598012.9831000001,1273653.575984422,0.0,675640.5928844218,1273653.575984422,2015
12,1,In,Assessed,0.0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,149461.07939999996,236308.9471953427,16479125.92,86847.86779534275,-16242816.972804658,2015
13,1,In,Assessed,0.0,820-01,"Shopping Center/General Retail [10,001 -50,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,235416.57119999998,265868.218537886,2086819.25,30451.64733788601,-1820951.031462114,2015
